Time (s),Commanded (deg),SPI (deg),Error (deg)
2.1457672119140625e-06,-7.615369908949908e-06,0.06276082992553711,-0.06276844529544606
0.23591232299804688,-7.615369908949908e-06,0.06260418891906738,-0.06261180428897634
0.4727015495300293,-7.615369908949908e-06,0.06270861625671387,-0.06271623162662282
0.7107400894165039,-7.615369908949908e-06,0.06260418891906738,-0.06261180428897634
0.9493584632873535,-7.615369908949908e-06,0.06276082992553711,-0.06276844529544606
1.1844255924224854,-7.615369908949908e-06,0.06265640258789062,-0.06266401795779958
1.4213738441467285,-7.615369908949908e-06,0.06265640258789062,-0.06266401795779958
1.6610150337219238,-7.615369908949908e-06,0.06260418891906738,-0.06261180428897634
1.8970835208892822,-7.615369908949908e-06,0.06265640258789062,-0.06266401795779958
2.1360526084899902,-7.615369908949908e-06,0.06260418891906738,-0.06261180428897634
2.3726487159729004,-7.615369908949908e-06,0.06276082992553711,-0.06276844529544606
2.6079719066619873,-7.615369908949908e-06,0.06265640258789062,-0.06266401795779958
2.8451316356658936,0.004364700878367704,0.06276082992553711,-0.058396129047169405
3.088007926940918,0.05015873908996582,0.07993912696838379,-0.02978038787841797
3.3311564922332764,0.15173885401557474,0.17956280708312988,-0.02782395306755514
3.575739622116089,0.242936653249404,0.27036237716674805,-0.027425723917344047
3.819450616836548,0.33457168410806093,0.36184072494506836,-0.02726904083700743
4.0722336769104,0.4269581542295568,0.4520137310028076,-0.02505557677325082
4.314262390136719,0.5165847469778622,0.5401504039764404,-0.023565656998578266
4.555405139923096,0.6045832493725944,0.6270861625671387,-0.022502913194544227
4.795607805252075,0.6910576680127312,0.7131342887878418,-0.022076620775110634
5.039575815200806,0.7793834209442139,0.8014276027679443,-0.02204418182373047
5.2823145389556885,0.8686659336090088,0.892331600189209,-0.023665666580200195
5.520428657531738,0.9531596828909481,0.9782752990722656,-0.025115616181317524
5.759092569351196,1.0388019645915312,1.065263271331787,-0.02646130674025593
5.999951362609863,1.1266811454997343,1.1532433032989502,-0.02656215779921589
6.2408294677734375,1.2118205603431254,1.239656925201416,-0.027836364858290663
6.483871221542358,1.2981689256780289,1.3257050514221191,-0.027536125744090256
6.72317910194397,1.3856406211853027,1.413632869720459,-0.02799224853515625
6.970224142074585,1.4734843758975757,1.5005686283111572,-0.027084252413581478
7.215882778167725,1.55957714249106,1.587399959564209,-0.02782281707314893
7.4598753452301025,1.6475086422527538,1.6760587692260742,-0.028550126973320378
7.7014806270599365,1.7307417532976936,1.7616891860961914,-0.030947432798497765
7.94982385635376,1.8162364398731905,1.8481028079986572,-0.031866368125466726
8.194305658340454,1.9018490805345423,1.9354040622711182,-0.033554981736575895
8.438064336776733,1.9838850322891683,2.0184760093688965,-0.034590977079728136
8.68228816986084,1.9974601812222426,2.032573699951172,-0.035113518728929316
8.922340393066406,1.9981748268884771,2.0335657596588135,-0.035390932770336336
9.16972804069519,1.998541400713079,2.0339834690093994,-0.03544206829632035
9.414721012115479,1.998772901647231,2.034296751022339,-0.035523849375107774
9.662826538085938,1.9989448259858524,2.0344533920288086,-0.03550856604295616
9.903112649917603,1.999039954998914,2.034557819366455,-0.03551786436754112
10.139801979064941,1.9991568151642294,2.0346100330352783,-0.035453217871048937
10.37734055519104,1.9992291611783646,2.034975528717041,-0.03574636753867644
10.612552642822266,1.9993037581443787,2.0349233150482178,-0.03561955690383911
10.850825071334839,1.999371944104924,2.0350277423858643,-0.03565579828094023
11.089399337768555,1.9994476086953108,2.0350277423858643,-0.03558013369055346
11.325732707977295,2.000791500596439,2.0361764430999756,-0.03538494250353663
11.563189268112183,2.0008854252450607,2.036489725112915,-0.035604299867854294
11.803012132644653,2.0008140048559975,2.0363330841064453,-0.03551907925044784
12.041064262390137,2.0010345560662888,2.0365419387817383,-0.03550738271544951
12.280498266220093,2.001106039566152,2.036698579788208,-0.035592540222055824
12.51958680152893,2.001172248054953,2.0368030071258545,-0.03563075907090152
12.758516550064087,2.0012428742997788,2.0368030071258545,-0.03556013282607573
12.998239278793335,1.9800635024028665,2.035863161087036,-0.055799658684169584
13.242651462554932,1.9166331641814287,1.9943010807037354,-0.07766791652230665
13.485430002212524,1.820758391829098,1.8979668617248535,-0.07720846989575558
13.727896928787231,1.7264535006354838,1.8036167621612549,-0.07716326152577113
13.970932483673096,1.6350792856777416,1.7103631496429443,-0.0752838639652027
14.218215227127075,1.5404440515181597,1.6154909133911133,-0.07504686187295362
14.464539766311646,1.4494424847995533,1.5250046253204346,-0.07556214052088128
14.70724892616272,1.3590726571924545,1.436502456665039,-0.07742979947258455
14.954195261001587,1.2682168764226578,1.3468515872955322,-0.07863471087287444
15.19626522064209,1.1795532703399658,1.2595503330230713,-0.07999706268310547
15.440053224563599,1.0902089090908276,1.1705782413482666,-0.08036933225743903
15.683010339736938,1.0011901995714974,1.0821805000305176,-0.08099030045902023
15.929189205169678,0.9125093432033763,0.9922163486480713,-0.079707005444695
16.17460536956787,0.8240513100343592,0.9028787612915039,-0.07882745125714474
16.420666217803955,0.735586124307969,0.8124969005584717,-0.07691077625050269
16.66826605796814,0.6463414781233844,0.7223238945007324,-0.07598241637734804
16.913630723953247,0.5583343085120706,0.6348137855529785,-0.07647947704090796
17.16006898880005,0.4694547793444465,0.54610276222229,-0.07664798287784352
17.403647899627686,0.38294081126942353,0.459636926651001,-0.07669611538157745
17.649479627609253,0.2952023253721349,0.372753381729126,-0.07755105635699105
17.893056392669678,0.20867708150078268,0.28581762313842773,-0.07714054163764505
18.138314247131348,0.1213386339299819,0.19799423217773438,-0.07665559824775248
18.382675886154175,0.03484620767481187,0.10975313186645508,-0.07490692419164321
18.630696296691895,-0.054990417817059684,0.019997835159301758,-0.07498825297636144
18.872087478637695,-0.1379996327792897,-0.06531929969787598,-0.07268033308141372
19.115431547164917,-0.2251872876111199,-0.15267276763916016,-0.07251451997195973
19.362260818481445,-0.31283119145561666,-0.24054837226867676,-0.0722828191869399
19.60587453842163,-0.39838183627409096,-0.32570886611938477,-0.0726729701547062
19.847546815872192,-0.4834245653713451,-0.40987730026245117,-0.07354726510889392
20.089541912078857,-0.5707931378308464,-0.49587321281433105,-0.07491992501651534
20.33024001121521,-0.656835205414716,-0.5813992023468018,-0.0754360030679142
20.572858095169067,-0.7438569209154915,-0.6670818328857422,-0.0767750880297493
20.811616897583008,-0.8294149707345402,-0.7520334720611572,-0.07738149867338295
21.049924850463867,-0.9125722857082591,-0.8333301544189453,-0.07924213128931379
21.288746118545532,-0.9991515524247113,-0.9112329483032227,-0.08791860412148866
21.527388095855713,-1.0802888169008142,-0.9855329990386963,-0.09475581786211795
21.767927408218384,-1.165372273501228,-1.0693881511688232,-0.09598412233240472
22.00691795349121,-1.2512692703920252,-1.153869867324829,-0.09739940306719608
22.246493577957153,-1.3288528077742632,-1.2304151058197021,-0.09843770195456103
22.48547911643982,-1.4114360669079948,-1.3152623176574707,-0.09617374925052413
22.723716259002686,-1.4975353549508488,-1.403712272644043,-0.0938230823068058
22.9637713432312,-1.5814568996429443,-1.4885072708129883,-0.09294962882995605
23.20318341255188,-1.66557837935055,-1.577688217163086,-0.08789016218746415
23.44252634048462,-1.7516059735242058,-1.6707329750061035,-0.08087299851810226
23.68258547782898,-1.8369489417356604,-1.7599661350250244,-0.07698280671063595
23.925564289093018,-1.924835527644438,-1.8490948677062988,-0.07574065993813917
24.168188333511353,-1.9999622877906351,-1.9266843795776367,-0.0732779082129984
24.41133427619934,-2.0030158407547893,-1.9316446781158447,-0.07137116263894461
24.649179935455322,-2.0042194899390724,-1.933211088180542,-0.0710084017585304
24.887975454330444,-2.0047772211187027,-1.933837652206421,-0.07093956891228181
25.128328800201416,-2.005083855460672,-1.9344642162322998,-0.07061963922837222
25.367403030395508,-2.005245755700504,-1.934725284576416,-0.07052047112408788
25.605252027511597,-2.0053487525266758,-1.9350907802581787,-0.07025797226849706
25.845617532730103,-2.005367601619047,-1.9352474212646484,-0.07012018035439871
26.085493087768555,-2.005383421393002,-1.935351848602295,-0.07003157279070704
26.32359743118286,-2.005383421393002,-1.9355084896087646,-0.06987493178423732
