Time (s),Commanded (deg),SPI (deg)
1.1920928955078125e-06,-0.0025539678685805377,0.010390520095825195
0.142181396484375,-0.002498935250674977,0.010442733764648438
0.28784728050231934,-0.002495232750387753,0.010338306427001953
0.4349803924560547,-0.0024900155908921186,0.010286092758178711
0.5777864456176758,-0.0024780666126924403,0.010390520095825195
0.7233457565307617,-0.0024247169494628906,0.010338306427001953
0.8682551383972168,-0.0024247169494628906,0.010181665420532227
1.0182225704193115,-0.0024119264939252067,0.010233879089355469
1.1567108631134033,-0.002353864557602826,0.010286092758178711
1.297694444656372,-0.0023540328530704275,0.010181665420532227
1.4393763542175293,-0.002344944897819968,0.010338306427001953
1.5811665058135986,-0.0022986636442296647,0.010286092758178711
1.7279636859893799,-0.0022835170521455653,0.010129451751708984
1.8738837242126465,-0.0022756071651683133,0.010233879089355469
2.0176525115966797,-0.0022121597738826975,0.010233879089355469
2.1602776050567627,-0.002212832955753102,0.010286092758178711
2.299064874649048,-0.0022023986367618337,0.010129451751708984
2.4382071495056152,-0.002171937157126034,0.010129451751708984
2.579975128173828,-0.00214231715482824,0.010129451751708984
2.725770950317383,-0.0021317145403693706,0.010233879089355469
2.865157127380371,-0.002083245445700253,0.010286092758178711
3.012204647064209,-0.002071633058435777,0.010233879089355469
3.153276205062866,-0.0020600206711713005,0.010129451751708984
3.2957749366760254,-0.0020011172575109147,0.010181665420532227
3.438143014907837,-0.0020011172575109147,0.010129451751708984
3.5818326473236084,-0.001988663392908433,0.010181665420532227
3.7285990715026855,-0.0019304331611184513,0.010077238082885742
3.8724849224090576,-0.0019289185019100413,0.010181665420532227
4.016613960266113,-0.001916801228242762,0.010129451751708984
4.167912483215332,-0.0018572246327119716,0.010129451751708984
4.312802314758301,-0.001650557798497817,0.010129451751708984
4.455560207366943,-0.0011645204880658317,0.010129451751708984
4.598959445953369,-0.0005204537335564109,0.009920597076416016
4.738671541213989,-9.98833600212546e-05,0.009816169738769531
4.881296873092651,0.0003178259905646829,0.009920597076416016
5.025270938873291,0.0010399818420410156,0.009763956069946289
5.173323154449463,0.00218354954439051,0.009816169738769531
5.321223735809326,0.0034004940706140853,0.00955510139465332
5.470644950866699,0.005338079789105584,0.009502887725830078
5.618179798126221,0.00765685474171358,0.00955510139465332
5.763916492462158,0.010255841647877413,0.009398460388183594
5.907437324523926,0.012955805834601907,0.009502887725830078
6.05118203163147,0.014411561629351448,0.009398460388183594
6.201356649398804,0.015454320346607882,0.009346246719360352
6.348383188247681,0.016440868377685547,0.009189605712890625
6.4939868450164795,0.01748783448163201,0.009137392044067383
6.641871929168701,0.01827225965612075,0.009032964706420898
6.78197979927063,0.019684595220229206,0.008771896362304688
6.9243714809417725,0.020377299364875343,0.008510828018188477
7.062219142913818,0.021014129414277917,0.008301973342895508
7.205520153045654,0.02168091605691349,0.007936477661132812
7.3507936000823975,0.022243022918701172,0.007832050323486328
7.492236852645874,0.022565645330092487,0.007570981979370117
7.633821487426758,0.024520565481746897,0.006944417953491211
7.777681589126587,0.025327542248894188,0.006317853927612305
7.924360275268555,0.026117857764748967,0.005952358245849609
8.065934896469116,0.027046680450439453,0.005639076232910156
8.215546369552612,0.028149015763226676,0.005586862564086914
8.360198497772217,0.02911217072430779,0.005534648895263672
8.503295660018921,0.0299526382895077,0.005534648895263672
8.645105123519897,0.03206121220308192,0.006056785583496094
8.78684401512146,0.03531840268303366,0.008301973342895508
8.932284116744995,0.03814475676592659,0.010651588439941406
9.074772119522095,0.041266469394459444,0.013575553894042969
9.217087507247925,0.043978214263916016,0.01644730567932129
9.357840299606323,0.05016812156228458,0.021668672561645508
9.49898886680603,0.05263516482184915,0.0243837833404541
9.638962984085083,0.05376409081851735,0.02553248405456543
9.783346891403198,0.05741273655610926,0.028508663177490234
9.927321672439575,0.06026315689086914,0.03148484230041504
10.064657211303711,0.0626073444590849,0.03393888473510742
10.207426309585571,0.06538119035608628,0.03660178184509277
10.349499940872192,0.06640038770787857,0.0381159782409668
10.497370958328247,0.07005559696870692,0.0410921573638916
10.644836664199829,0.07351322735057157,0.0444338321685791
10.791734218597412,0.07530708873973173,0.04626131057739258
10.938770294189453,0.07654725804048426,0.04767107963562012
11.10527491569519,0.0772859068477855,0.04829764366149902
11.250734567642212,0.08016190809362075,0.05064725875854492
11.394714832305908,0.0830537291134105,0.053466796875
11.534222602844238,0.08543056600234088,0.05607748031616211
11.675031661987305,0.08787354301003848,0.05847930908203125
11.818348169326782,0.09011136784273036,0.06067228317260742
11.95965051651001,0.09061002731323242,0.06155991554260254
12.103208065032959,0.09261610928703756,0.06328296661376953
12.242379903793335,0.09560385872335996,0.06610250473022461
12.386645555496216,0.09757560842177447,0.06824326515197754
12.529896020889282,0.09882032170015223,0.06960082054138184
12.668380737304688,0.09978448643403895,0.0705406665802002
12.815305233001709,0.10052801580990062,0.07132387161254883
12.958776712417603,0.10111048642326803,0.07179379463195801
13.108318567276001,0.10445199293248794,0.07476997375488281
13.254940509796143,0.10709019268260282,0.07743287086486816
13.401735067367554,0.10955605787389419,0.08004355430603027
13.546604871749878,0.1121220588684082,0.08265423774719238
13.68844985961914,0.11304616928100586,0.08406400680541992
13.835049629211426,0.11596171996172737,0.0865180492401123
13.9824697971344,0.1177369005539838,0.08829331398010254
14.128633737564087,0.11936515920302447,0.08996415138244629
14.276299953460693,0.1205903502071605,0.09111285209655762
14.419439315795898,0.12160315233118393,0.09226155281066895
14.566718339920044,0.12258751252118279,0.09309697151184082
14.71407151222229,0.12337917440077838,0.09408903121948242
14.861266851425171,0.12404730740715475,0.09476780891418457
15.005293607711792,0.12453536426319796,0.09513330459594727
15.15239667892456,0.12512927896836223,0.09602093696594238
15.29834771156311,0.12904315836289348,0.09915375709533691
15.441725254058838,0.13321352005004883,0.10364413261413574
15.592843055725098,0.13530795714434454,0.1059415340423584
15.740841150283813,0.13621136721442728,0.10703802108764648
15.890483379364014,0.13953941008623907,0.11017084121704102
16.038399696350098,0.14194149129530964,0.11257266998291016
16.186657190322876,0.14369613984051874,0.11440014839172363
16.336012601852417,0.14544136383954218,0.11617541313171387
16.48220682144165,0.14720998090856216,0.11779403686523438
16.62918519973755,0.1488178758060231,0.11962151527404785
16.79746389389038,0.14862770192763386,0.11983036994934082
16.942559957504272,0.15030543944414923,0.12097907066345215
17.10673952102661,0.1524225964265711,0.12296319007873535
17.25517725944519,0.1551794444813448,0.12588715553283691
17.40513277053833,0.1570865687202005,0.12776684761047363
17.553781509399414,0.15834760665893555,0.12928104400634766
17.699288368225098,0.15915626638075886,0.13016867637634277
17.84843611717224,0.159787374384263,0.13084745407104492
17.997909545898438,0.1631458787357106,0.13382363319396973
18.144331693649292,0.16571760177612305,0.1363821029663086
18.288797855377197,0.1677413547740263,0.13847064971923828
18.43567442893982,0.16981862573062673,0.14050698280334473
18.581994771957397,0.17164311689489029,0.14254331588745117
18.72985005378723,0.17200007158167221,0.14322209358215332
18.87685537338257,0.1732197088353774,0.14410972595214844
19.02526354789734,0.17482541589175954,0.14551949501037598
19.17640471458435,0.17724937551161823,0.1480257511138916
19.332463264465332,0.17946498534258673,0.15027093887329102
19.492708921432495,0.18115702797384822,0.15204620361328125
19.647069215774536,0.18223445555743048,0.15319490432739258
19.800008058547974,0.18295829436358282,0.1539781093597412
19.951414823532104,0.18373464135562673,0.15502238273620605
20.119366884231567,0.18835771785062902,0.15899062156677246
20.271262407302856,0.1906576437108657,0.16128802299499512
20.420522212982178,0.19269502864164464,0.1634809970855713
20.571953773498535,0.1947812192580279,0.16556954383850098
20.71673321723938,0.19561226227704218,0.1668226718902588
20.860854864120483,0.19697865317849553,0.1678147315979004
21.005545616149902,0.19883444729973287,0.16958999633789062
21.151164054870605,0.20106234269983628,0.1717829704284668
21.299009323120117,0.20282607920029583,0.17355823516845703
21.439993619918823,0.20422899021821864,0.1750202178955078
21.5804500579834,0.20534058178172393,0.17616891860961914
21.726760149002075,0.20608899172614603,0.17700433731079102
21.866310119628906,0.20668509427238912,0.17752647399902344
22.005409002304077,0.20929485208847942,0.17966723442077637
22.14635992050171,0.2126138070050408,0.18311333656311035
22.28508996963501,0.21475772296681123,0.18535852432250977
22.429174184799194,0.21691358790678136,0.1874992847442627
22.567853212356567,0.21873942543478572,0.18932676315307617
