utc_time,elapsed_sec,sample_visible,tracking_started,rebuilt_trajectory,target_elapsed_sec,ideal_target_elapsed_sec,az_deg,el_deg,raw_x_angle_deg,raw_y_angle_deg,cmd_x_angle_deg,cmd_y_angle_deg,raw_dx_deg,raw_dy_deg,cmd_dx_deg,cmd_dy_deg,x_vel_deg_per_s,y_vel_deg_per_s,x_acc_deg_per_s2,y_acc_deg_per_s2,x_actual_deg,y_actual_deg,x_cmd_error_deg,y_cmd_error_deg,x_traj_error_deg,y_traj_error_deg,capture_error_deg,status
2026-03-23T18:53:36.128247+00:00,0.000000,0,0,1,0.000000,0.000000,308.702937,-3.033728,93.885081,38.638629,90.000000,38.638629,0.000000,0.000000,0.000000,0.000000,-0.070114,-0.028038,-5.609129,-2.243035,0.000317,0.003232,89.999683,38.635396,89.999683,38.635396,89.999683,Waiting for rise in 53.1 s
2026-03-23T18:53:36.211544+00:00,0.083286,0,0,0,0.083286,0.083286,308.700407,-3.029270,93.879242,38.636293,90.000000,38.636293,-0.005840,-0.002336,0.000000,0.000000,-0.070120,-0.028051,-0.000102,-0.000218,0.000360,0.003232,89.999640,38.633061,89.999640,38.633061,89.999640,Waiting for rise in 53.0 s
2026-03-23T18:53:36.266017+00:00,0.137740,0,0,0,0.137740,0.137740,308.698752,-3.026354,93.875423,38.634765,90.000000,38.634765,-0.003818,-0.001528,0.000000,0.000000,-0.070126,-0.028062,-0.000102,-0.000218,0.000403,0.003275,89.999597,38.631490,89.999597,38.631490,89.999597,Waiting for rise in 53.0 s
2026-03-23T18:53:36.329976+00:00,0.201702,0,0,0,0.201702,0.201702,308.696807,-3.022929,93.870938,38.632970,90.000000,38.632970,-0.004486,-0.001795,0.000000,0.000000,-0.070132,-0.028076,-0.000102,-0.000218,0.000446,0.003232,89.999554,38.629738,89.999554,38.629738,89.999554,Waiting for rise in 52.9 s
2026-03-23T18:53:36.385295+00:00,0.257035,0,0,0,0.257035,0.257035,308.695125,-3.019966,93.867057,38.631416,90.000000,38.631416,-0.003881,-0.001554,0.000000,0.000000,-0.070138,-0.028089,-0.000102,-0.000218,0.000489,0.003275,89.999511,38.628141,89.999511,38.628141,89.999511,Waiting for rise in 52.9 s
2026-03-23T18:53:36.446096+00:00,0.317829,0,0,0,0.317829,0.317829,308.693275,-3.016710,93.862793,38.629708,90.000000,38.629708,-0.004264,-0.001708,0.000000,0.000000,-0.070144,-0.028102,-0.000103,-0.000218,0.000360,0.003275,89.999640,38.626433,89.999640,38.626433,89.999640,Waiting for rise in 52.8 s
2026-03-23T18:53:36.501500+00:00,0.373243,0,0,0,0.373243,0.373243,308.691589,-3.013741,93.858905,38.628151,90.000000,38.628151,-0.003887,-0.001558,0.000000,0.000000,-0.070150,-0.028114,-0.000103,-0.000218,0.000403,0.003190,89.999597,38.624961,89.999597,38.624961,89.999597,Waiting for rise in 52.8 s
2026-03-23T18:53:36.555481+00:00,0.427215,0,0,0,0.427215,0.427215,308.689946,-3.010850,93.855119,38.626633,90.000000,38.626633,-0.003786,-0.001518,0.000000,0.000000,-0.070155,-0.028126,-0.000103,-0.000218,0.000403,0.003318,89.999597,38.623315,89.999597,38.623315,89.999597,Waiting for rise in 52.7 s
2026-03-23T18:53:36.608915+00:00,0.480649,0,0,0,0.480649,0.480649,308.688319,-3.007987,93.851370,38.625130,90.000000,38.625130,-0.003749,-0.001503,0.000000,0.000000,-0.070161,-0.028137,-0.000103,-0.000219,0.000446,0.003275,89.999554,38.621854,89.999554,38.621854,89.999554,Waiting for rise in 52.6 s
2026-03-23T18:53:36.667060+00:00,0.538784,0,0,0,0.538784,0.538784,308.686548,-3.004872,93.847291,38.623494,90.000000,38.623494,-0.004079,-0.001636,0.000000,0.000000,-0.070167,-0.028150,-0.000103,-0.000219,0.000489,0.003275,89.999511,38.620218,89.999511,38.620218,89.999511,Waiting for rise in 52.6 s
