utc_time,elapsed_sec,trajectory_elapsed_sec,sample_visible,tracking_started,rebuilt_trajectory,target_elapsed_sec,ideal_target_elapsed_sec,az_deg,el_deg,raw_x_angle_deg,raw_y_angle_deg,cmd_x_angle_deg,cmd_y_angle_deg,raw_dx_deg,raw_dy_deg,cmd_dx_deg,cmd_dy_deg,x_vel_deg_per_s,y_vel_deg_per_s,x_acc_deg_per_s2,y_acc_deg_per_s2,x_actual_deg,y_actual_deg,x_cmd_error_deg,y_cmd_error_deg,x_traj_error_deg,y_traj_error_deg,capture_error_deg,status
2026-03-23T21:58:33.127702+00:00,0.000001,0.000000,1,0,1,0.050001,0.050001,275.332230,0.168403,89.830865,5.332207,89.828986,5.324293,0.000000,0.000000,0.000000,0.000000,-0.037576,-0.158266,-3.006114,-12.661244,0.000746,0.003147,89.828240,5.321147,89.828240,5.321147,89.828240,Waiting for rise in 47709.9 s
2026-03-23T21:58:33.217232+00:00,0.089502,0.089501,1,0,0,0.139502,0.139502,275.318065,0.171755,89.827502,5.318041,89.825624,5.310125,-0.003363,-0.014166,-0.003363,-0.014169,-0.037571,-0.158306,0.000084,-0.000622,0.018384,0.004949,89.807239,5.305176,89.807239,5.305176,89.807239,Tracking pass
2026-03-23T21:58:33.275987+00:00,0.148259,0.148258,1,0,0,0.198259,0.198259,275.308763,0.173956,89.825295,5.308738,89.823417,5.300820,-0.002207,-0.009303,-0.002207,-0.009304,-0.037566,-0.158342,0.000084,-0.000622,0.187814,0.187382,89.635602,5.113438,89.635602,5.113438,89.635602,Tracking pass
2026-03-23T21:58:33.353870+00:00,0.226134,0.226133,1,0,0,0.276134,0.276134,275.296430,0.176872,89.822370,5.296405,89.820492,5.288485,-0.002925,-0.012333,-0.002925,-0.012335,-0.037559,-0.158391,0.000084,-0.000622,0.466206,0.485172,89.354286,4.803313,89.354286,4.803313,89.354286,Tracking pass
2026-03-23T21:58:33.415556+00:00,0.287844,0.287843,1,0,0,0.337844,0.337844,275.286656,0.179183,89.820052,5.286630,89.818174,5.278708,-0.002318,-0.009775,-0.002317,-0.009777,-0.037554,-0.158429,0.000084,-0.000622,0.863516,0.888619,88.954658,4.390089,88.954658,4.390089,88.954658,Tracking pass
2026-03-23T21:58:33.476272+00:00,0.348547,0.348545,1,0,0,0.398547,0.398547,275.277038,0.181455,89.817772,5.277012,89.815895,5.269088,-0.002280,-0.009618,-0.002279,-0.009620,-0.037549,-0.158467,0.000084,-0.000622,1.391418,1.334939,88.424477,3.934149,88.424477,3.934149,88.424477,Tracking pass
2026-03-23T21:58:33.537510+00:00,0.409790,0.409789,1,0,0,0.459790,0.459790,275.267332,0.183748,89.815473,5.267305,89.813596,5.259379,-0.002299,-0.009706,-0.002299,-0.009708,-0.037544,-0.158505,0.000084,-0.000622,1.996052,1.919746,87.817544,3.339633,87.817544,3.339633,87.817544,Tracking pass
2026-03-23T21:58:33.600429+00:00,0.472686,0.472685,1,0,0,0.522686,0.522686,275.257362,0.186102,89.813112,5.257335,89.811235,5.249407,-0.002361,-0.009971,-0.002361,-0.009973,-0.037539,-0.158544,0.000084,-0.000622,2.585537,2.528414,87.225698,2.720993,87.225698,2.720993,87.225698,Tracking pass
2026-03-23T21:58:33.660514+00:00,0.532796,0.532795,1,0,0,0.582796,0.582796,275.247832,0.188352,89.810855,5.247803,89.808979,5.239874,-0.002256,-0.009531,-0.002256,-0.009533,-0.037534,-0.158581,0.000084,-0.000622,3.126871,3.082494,86.682107,2.157380,86.682107,2.157380,86.682107,Tracking pass
2026-03-23T21:58:33.721297+00:00,0.593560,0.593558,1,0,0,0.643560,0.643560,275.238196,0.190626,89.808575,5.238166,89.806699,5.230235,-0.002281,-0.009637,-0.002280,-0.009639,-0.037529,-0.158619,0.000084,-0.000622,3.647606,3.657903,86.159092,1.572332,86.159092,1.572332,86.159092,Tracking pass
2026-03-23T21:58:33.780502+00:00,0.652768,0.652767,1,0,0,0.702768,0.702768,275.228804,0.192841,89.806353,5.228774,89.804477,5.220840,-0.002222,-0.009393,-0.002222,-0.009395,-0.037524,-0.158656,0.000084,-0.000622,4.167955,4.193744,85.636522,1.027096,85.636522,1.027096,85.636522,Tracking pass
