utc_time,elapsed_sec,trajectory_elapsed_sec,sample_visible,tracking_started,rebuilt_trajectory,target_elapsed_sec,ideal_target_elapsed_sec,az_deg,el_deg,raw_x_angle_deg,raw_y_angle_deg,cmd_x_angle_deg,cmd_y_angle_deg,raw_dx_deg,raw_dy_deg,cmd_dx_deg,cmd_dy_deg,x_vel_deg_per_s,y_vel_deg_per_s,x_acc_deg_per_s2,y_acc_deg_per_s2,cmd_x_vel_ff_deg_per_s,cmd_y_vel_ff_deg_per_s,x_control_mode,x_input_mode,y_control_mode,y_input_mode,x_controller_vel_limit,y_controller_vel_limit,x_traj_vel_limit,x_traj_accel_limit,x_traj_decel_limit,y_traj_vel_limit,y_traj_accel_limit,y_traj_decel_limit,x_actual_deg,y_actual_deg,x_cmd_error_deg,y_cmd_error_deg,x_traj_error_deg,y_traj_error_deg,capture_error_deg,status
2026-03-24T23:04:05.349712+00:00,0.023586,0.000000,0,0,1,0.023586,0.023586,318.525308,-1.777785,92.683202,48.494118,91.000000,48.494118,0.000000,0.000000,0.000000,0.000000,-0.030456,0.159629,-12.182296,63.851405,-0.030456,0.159629,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004823,-0.014577,90.995177,48.508695,90.995177,48.508695,90.995177,Waiting for rise in 87.4 s
2026-03-24T23:04:05.409482+00:00,0.083331,0.059745,0,0,0,0.083331,0.083331,318.534801,-1.776246,92.681382,48.503655,91.000000,48.503655,-0.001820,0.009537,0.000000,0.000000,-0.030456,0.159648,-0.000004,0.000766,-0.030456,0.159648,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004909,-0.014620,90.995091,48.518275,90.995091,48.518275,90.995091,Waiting for rise in 87.3 s
2026-03-24T23:04:05.435731+00:00,0.109573,0.085987,0,0,0,0.109573,0.109573,318.538972,-1.775569,92.680583,48.507845,91.000000,48.507845,-0.000799,0.004190,0.000000,0.000000,-0.030456,0.159658,-0.000002,0.000316,-0.030456,0.159658,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004909,-0.014620,90.995091,48.522465,90.995091,48.522465,90.995091,Waiting for rise in 87.3 s
2026-03-24T23:04:05.460402+00:00,0.134260,0.110674,0,0,0,0.134260,0.134260,318.542896,-1.774934,92.679831,48.511786,91.000000,48.511786,-0.000752,0.003942,0.000000,0.000000,-0.030456,0.159668,-0.000000,0.000053,-0.030456,0.159668,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004909,-0.014620,90.995091,48.526407,90.995091,48.526407,90.995091,Waiting for rise in 87.2 s
2026-03-24T23:04:05.481527+00:00,0.155387,0.131801,0,0,0,0.155387,0.155387,318.546254,-1.774389,92.679188,48.515160,91.000000,48.515160,-0.000643,0.003373,0.000000,0.000000,-0.030456,0.159676,-0.000001,0.000142,-0.030456,0.159676,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004866,-0.014620,90.995134,48.529780,90.995134,48.529780,90.995134,Waiting for rise in 87.2 s
2026-03-24T23:04:05.508442+00:00,0.182293,0.158707,0,0,0,0.182293,0.182293,318.550530,-1.773696,92.678368,48.519456,91.000000,48.519456,-0.000819,0.004296,0.000000,0.000000,-0.030456,0.159687,-0.000004,0.000686,-0.030456,0.159687,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004909,-0.014620,90.995091,48.534076,90.995091,48.534076,90.995091,Waiting for rise in 87.2 s
2026-03-24T23:04:05.531050+00:00,0.204913,0.181327,0,0,0,0.204913,0.204913,318.554126,-1.773114,92.677679,48.523068,91.000000,48.523068,-0.000689,0.003612,0.000000,0.000000,-0.030456,0.159696,-0.000004,0.000682,-0.030456,0.159696,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004909,-0.014620,90.995091,48.537688,90.995091,48.537689,90.995091,Waiting for rise in 87.2 s
2026-03-24T23:04:05.549930+00:00,0.223784,0.200198,0,0,0,0.223784,0.223784,318.557126,-1.772628,92.677104,48.526082,91.000000,48.526082,-0.000575,0.003014,0.000000,0.000000,-0.030456,0.159703,-0.000004,0.000772,-0.030456,0.159703,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004952,-0.014577,90.995048,48.540659,90.995048,48.540659,90.995048,Waiting for rise in 87.2 s
2026-03-24T23:04:05.570132+00:00,0.243995,0.220409,0,0,0,0.243995,0.243995,318.560339,-1.772107,92.676489,48.529310,91.000000,48.529310,-0.000616,0.003228,0.000000,0.000000,-0.030456,0.159711,-0.000004,0.000754,-0.030456,0.159711,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004866,-0.014534,90.995134,48.543844,90.995134,48.543844,90.995134,Waiting for rise in 87.1 s
2026-03-24T23:04:05.590838+00:00,0.264673,0.241086,0,0,0,0.264673,0.264673,318.563627,-1.771575,92.675859,48.532612,91.000000,48.532612,-0.000630,0.003303,0.000000,0.000000,-0.030456,0.159719,-0.000004,0.000702,-0.030456,0.159719,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004866,-0.014663,90.995134,48.547276,90.995134,48.547275,90.995134,Waiting for rise in 87.1 s
2026-03-24T23:04:05.617486+00:00,0.291336,0.267750,0,0,0,0.291336,0.291336,318.567866,-1.770889,92.675047,48.536871,91.000000,48.536871,-0.000812,0.004259,0.000000,0.000000,-0.030456,0.159730,-0.000001,0.000177,-0.030456,0.159730,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004909,-0.014449,90.995091,48.551320,90.995091,48.551320,90.995091,Waiting for rise in 87.1 s
2026-03-24T23:04:05.637101+00:00,0.310960,0.287374,0,0,0,0.310960,0.310960,318.570986,-1.770384,92.674449,48.540006,91.000000,48.540006,-0.000598,0.003135,0.000000,0.000000,-0.030456,0.159738,-0.000001,0.000207,-0.030456,0.159738,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004823,-0.014534,90.995177,48.554540,90.995177,48.554540,90.995177,Waiting for rise in 87.1 s
2026-03-24T23:04:05.655894+00:00,0.329724,0.306138,0,0,0,0.329724,0.329724,318.573970,-1.769901,92.673878,48.543003,91.000000,48.543003,-0.000571,0.002997,0.000000,0.000000,-0.030456,0.159745,-0.000002,0.000304,-0.030456,0.159745,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004866,-0.014577,90.995134,48.557580,90.995134,48.557580,90.995134,Waiting for rise in 87.1 s
2026-03-24T23:04:05.673427+00:00,0.347277,0.323691,0,0,0,0.347277,0.347277,318.576761,-1.769449,92.673343,48.545807,91.000000,48.545807,-0.000535,0.002804,0.000000,0.000000,-0.030456,0.159752,-0.000003,0.000497,-0.030456,0.159752,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004995,-0.014620,90.995005,48.560428,90.995005,48.560427,90.995005,Waiting for rise in 87.0 s
2026-03-24T23:04:05.690333+00:00,0.364187,0.340601,0,0,0,0.364187,0.364187,318.579451,-1.769014,92.672828,48.548509,91.000000,48.548509,-0.000515,0.002701,0.000000,0.000000,-0.030456,0.159759,-0.000004,0.000739,-0.030456,0.159759,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004866,-0.014577,90.995134,48.563086,90.995134,48.563086,90.995134,Waiting for rise in 87.0 s
2026-03-24T23:04:05.710438+00:00,0.384271,0.360685,0,0,0,0.384271,0.384271,318.582645,-1.768497,92.672217,48.551717,91.000000,48.551717,-0.000612,0.003209,0.000000,0.000000,-0.030456,0.159766,-0.000004,0.000733,-0.030456,0.159766,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004866,-0.014492,90.995134,48.566209,90.995134,48.566209,90.995134,Waiting for rise in 87.0 s
2026-03-24T23:04:05.732247+00:00,0.406103,0.382517,0,0,0,0.406103,0.406103,318.586117,-1.767935,92.671552,48.555205,91.000000,48.555205,-0.000665,0.003488,0.000000,0.000000,-0.030457,0.159775,-0.000003,0.000588,-0.030457,0.159775,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004823,-0.014706,90.995177,48.569912,90.995177,48.569912,90.995177,Waiting for rise in 87.0 s
2026-03-24T23:04:05.749801+00:00,0.423652,0.400066,0,0,0,0.423652,0.423652,318.588908,-1.767483,92.671017,48.558009,91.000000,48.558009,-0.000534,0.002804,0.000000,0.000000,-0.030457,0.159782,-0.000004,0.000782,-0.030457,0.159782,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004866,-0.014577,90.995134,48.572587,90.995134,48.572587,90.995134,Waiting for rise in 87.0 s
2026-03-24T23:04:05.768043+00:00,0.441896,0.418310,0,0,0,0.441896,0.441896,318.591810,-1.767014,92.670462,48.560924,91.000000,48.560924,-0.000556,0.002915,0.000000,0.000000,-0.030457,0.159789,-0.000004,0.000653,-0.030457,0.159789,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004909,-0.014577,90.995091,48.575502,90.995091,48.575502,90.995091,Waiting for rise in 86.9 s
2026-03-24T23:04:05.787932+00:00,0.461784,0.438198,0,0,0,0.461784,0.461784,318.594973,-1.766502,92.669856,48.564102,91.000000,48.564102,-0.000606,0.003178,0.000000,0.000000,-0.030457,0.159797,-0.000004,0.000645,-0.030457,0.159797,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004952,-0.014577,90.995048,48.578680,90.995048,48.578680,90.995048,Waiting for rise in 86.9 s
2026-03-24T23:04:05.808435+00:00,0.482290,0.458704,0,0,0,0.482290,0.482290,318.598235,-1.765975,92.669231,48.567379,91.000000,48.567379,-0.000625,0.003277,0.000000,0.000000,-0.030457,0.159805,-0.000004,0.000684,-0.030457,0.159805,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004823,-0.014534,90.995177,48.581914,90.995177,48.581914,90.995177,Waiting for rise in 86.9 s
2026-03-24T23:04:05.826358+00:00,0.500216,0.476630,0,0,0,0.500216,0.500216,318.601087,-1.765514,92.668685,48.570244,91.000000,48.570244,-0.000546,0.002865,0.000000,0.000000,-0.030457,0.159812,-0.000003,0.000522,-0.030457,0.159812,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.004866,-0.014449,90.995134,48.584693,90.995134,48.584693,90.995134,Waiting for rise in 86.9 s
