utc_time,elapsed_sec,trajectory_elapsed_sec,sample_visible,tracking_started,rebuilt_trajectory,target_elapsed_sec,ideal_target_elapsed_sec,az_deg,el_deg,raw_x_angle_deg,raw_y_angle_deg,cmd_x_angle_deg,cmd_y_angle_deg,raw_dx_deg,raw_dy_deg,cmd_dx_deg,cmd_dy_deg,x_vel_deg_per_s,y_vel_deg_per_s,x_acc_deg_per_s2,y_acc_deg_per_s2,cmd_x_vel_ff_deg_per_s,cmd_y_vel_ff_deg_per_s,x_control_mode,x_input_mode,y_control_mode,y_input_mode,x_controller_vel_limit,y_controller_vel_limit,x_traj_vel_limit,x_traj_accel_limit,x_traj_decel_limit,y_traj_vel_limit,y_traj_accel_limit,y_traj_decel_limit,x_actual_deg,y_actual_deg,x_cmd_error_deg,y_cmd_error_deg,x_traj_error_deg,y_traj_error_deg,capture_error_deg,status
2026-03-25T04:45:43.150080+00:00,0.000001,0.000001,0,0,0,0.000001,0.000001,316.264588,-0.954302,91.380249,46.256283,91.000000,46.256283,0.000000,0.000000,0.000000,0.000000,-0.033814,0.166741,-0.000026,0.000423,-0.033814,0.166741,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.000188,-0.036078,90.999812,46.292361,90.999812,46.292361,90.999812,Waiting for rise in 40.0 s
2026-03-25T04:45:43.233115+00:00,0.083015,0.083015,0,0,0,0.083015,0.083015,316.278401,-0.952121,91.377441,46.270130,91.000000,46.270130,-0.002808,0.013847,0.000000,0.000000,-0.033816,0.166777,-0.000026,0.000423,-0.033816,0.166777,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.000274,-0.036250,90.999726,46.306379,90.999726,46.306379,90.999726,Waiting for rise in 40.0 s
2026-03-25T04:45:43.293250+00:00,0.143159,0.143159,0,0,0,0.143159,0.143159,316.288406,-0.950541,91.375407,46.280159,91.000000,46.280159,-0.002034,0.010030,0.000000,0.000000,-0.033818,0.166802,-0.000026,0.000423,-0.033818,0.166802,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.000274,-0.036164,90.999726,46.316323,90.999726,46.316323,90.999726,Waiting for rise in 39.9 s
2026-03-25T04:45:43.353929+00:00,0.203828,0.203828,0,0,0,0.203828,0.203828,316.298504,-0.948948,91.373355,46.290282,91.000000,46.290282,-0.002052,0.010122,0.000000,0.000000,-0.033819,0.166828,-0.000027,0.000423,-0.033819,0.166828,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.000188,-0.036121,90.999812,46.326402,90.999812,46.326402,90.999812,Waiting for rise in 39.8 s
2026-03-25T04:45:43.412475+00:00,0.262383,0.262383,0,0,0,0.262383,0.262383,316.308248,-0.947411,91.371375,46.300049,91.000000,46.300049,-0.001980,0.009768,0.000000,0.000000,-0.033821,0.166852,-0.000027,0.000423,-0.033821,0.166852,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.000231,-0.036121,90.999769,46.336170,90.999769,46.336170,90.999769,Waiting for rise in 39.8 s
2026-03-25T04:45:43.472087+00:00,0.321975,0.321975,0,0,0,0.321975,0.321975,316.318171,-0.945846,91.369359,46.309997,91.000000,46.309997,-0.002016,0.009947,0.000000,0.000000,-0.033822,0.166878,-0.000027,0.000422,-0.033822,0.166878,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.000145,-0.036164,90.999855,46.346160,90.999855,46.346160,90.999855,Waiting for rise in 39.7 s
2026-03-25T04:45:43.533134+00:00,0.383022,0.383022,0,0,0,0.383022,0.383022,316.328334,-0.944244,91.367294,46.320185,91.000000,46.320185,-0.002065,0.010188,0.000000,0.000000,-0.033824,0.166903,-0.000027,0.000422,-0.033824,0.166903,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.000231,-0.036207,90.999769,46.356391,90.999769,46.356391,90.999769,Waiting for rise in 39.7 s
2026-03-25T04:45:43.593677+00:00,0.443561,0.443561,0,0,0,0.443561,0.443561,316.338415,-0.942656,91.365246,46.330290,91.000000,46.330290,-0.002048,0.010106,0.000000,0.000000,-0.033826,0.166929,-0.000027,0.000422,-0.033826,0.166929,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.000231,-0.036164,90.999769,46.366454,90.999769,46.366454,90.999769,Waiting for rise in 39.6 s
2026-03-25T04:45:43.654044+00:00,0.503937,0.503937,0,0,0,0.503937,0.503937,316.348468,-0.941073,91.363204,46.340368,91.000000,46.340368,-0.002042,0.010078,0.000000,0.000000,-0.033827,0.166954,-0.000027,0.000422,-0.033827,0.166954,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.000188,-0.036207,90.999812,46.376575,90.999812,46.376575,90.999812,Waiting for rise in 39.5 s
2026-03-25T04:45:43.712545+00:00,0.562438,0.562438,0,0,0,0.562438,0.562438,316.358212,-0.939539,91.361225,46.350136,91.000000,46.350136,-0.001979,0.009768,0.000000,0.000000,-0.033829,0.166979,-0.000027,0.000422,-0.033829,0.166979,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.000231,-0.036121,90.999769,46.386257,90.999769,46.386257,90.999769,Waiting for rise in 39.5 s
2026-03-25T04:45:43.773515+00:00,0.623400,0.623400,0,0,0,0.623400,0.623400,316.368369,-0.937941,91.359163,46.360317,91.000000,46.360317,-0.002063,0.010181,0.000000,0.000000,-0.033830,0.167005,-0.000027,0.000422,-0.033830,0.167005,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.000231,-0.036207,90.999769,46.396524,90.999769,46.396524,90.999769,Waiting for rise in 39.4 s
2026-03-25T04:45:43.835621+00:00,0.685505,0.685505,0,0,0,0.685505,0.685505,316.378717,-0.936313,91.357062,46.370690,91.000000,46.370690,-0.002101,0.010373,0.000000,0.000000,-0.033832,0.167031,-0.000027,0.000422,-0.033832,0.167031,3,5,3,5,100.000000,100.000000,50.000000,100.000000,100.000000,50.000000,100.000000,100.000000,0.000145,-0.036164,90.999855,46.406854,90.999855,46.406854,90.999855,Waiting for rise in 39.3 s
